SchoolName, SchoolAbbrev, Year, Enrolled, City, State, Country, SDNRank, ResTuition, NonResTuition, AvgMCAT, AvgGPA, Type
Rush University Rush Medical College,rmc,1837,131,Chicago,IL,USA,3,49784,49784,31.0,3.7,Allopathic
Sackler School of Medicine,ssm,1976,64,New York,NY,USA,3,40000,40000,28.0,3.4,Allopathic
Tufts University School of Medicine,tusm,1893,163,Boston,MA,USA,3,58346,58346,32.8,3.7,Allopathic
Tulane University School of Medicine,tulane,1834,185,New Orleans,LA,USA,3,58592,58592,33.2,3.5,Allopathic
University of Arizona College of Medicine - Tucson,ua-com,1967,117,Tucson,AZ,USA,3,31626,53300,29.0,3.6,Allopathic
University of California Irvine School of Medicine,uci,1967,90,Irvine,CA,USA,3,36503,36503,33.0,3.7,Allopathic
University of Cincinnati College of Medicine,uc-com,1819,170,Cincinnati,OH,USA,3,29680,47944,33.0,3.7,Allopathic
University of Hawaii at Manoa John A. Burns School of Medicine,jabsom,1965,66,Honolulu,HI,USA,3,34896,69240,31.0,3.7,Allopathic
University of Kentucky College of Medicine,ukcom,1960,115,Lexington,KY,USA,3,35929,65861,31.9,3.7,Allopathic
University of Maryland School of Medicine,um-som,1807,161,Baltimore,MD,USA,3,32662,58906,31.7,3.7,Allopathic
University of Minnesota Duluth Medical School,umn-duluth,1972,60,Duluth,MN,USA,3,37872,49767,29.0,3.6,Allopathic
University of Mississippi Medical Center School of Medicine,olemiss,1903,145,Jackson,MS,USA,3,25649,,28.4,3.7,Allopathic
University of Missouri School of Medicine,mu,1872,159,Columbia,MO,USA,3,30304,57614,30.2,3.8,Allopathic
University of Nebraska Medical Center College of Medicine,unmc-com,1902,123,Omaha,NE,USA,3,27992,69632,31.0,3.8,Allopathic
University of Oklahoma College of Medicine,ouhsc,1900,165,Oklahoma City,OK,USA,3,22886,52323,30.0,3.7,Allopathic
University of South Alabama College of Medicine,usa,1973,74,Mobile,AL,USA,3,27393,54010,30.0,3.6,Allopathic
University of South Florida Morsani College of Medicine,usf-com,1965,156,Tampa,FL,USA,3,36000,55000,31.0,3.8,Allopathic
University of Southern California Keck School of Medicine,usc-keck,1885,186,Los Angeles,CA,USA,3,59122,59122,35.0,3.7,Allopathic
Long School of Medicine - University of Texas Health Science Center,uthscsa,1959,230,San Antonio,TX,USA,3,14500,28907,31.8,3.7,Allopathic
University of Utah School of Medicine,utah-som,1943,92,Salt Lake City,UT,USA,3,33837,64059,30.0,3.6,Allopathic
University of Western Ontario Schulich School of Medicine & Dentistry,uwo-fom,1881,171,London,ON,Canada,3,22929,,32.0,3.7,Allopathic
Virginia Commonwealth University Medical Center School of Medicine,vcu-som,1838,210,Richmond,VA,USA,3,31608,47572,30.2,3.6,Allopathic
Wake Forest Baptist Medical Center School of Medicine,wfusm,1902,120,Winston-Salem,NC,USA,3,51800,51800,31.9,3.6,Allopathic
Duke-NUS Graduate Medical School Singapore,duke-nus,2005,60,Singapore,,Singapore,3,31728,41495,,4.5,Allopathic
Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,ttuhsc-plfsom,2007,100,El Paso,TX,USA,3,14550,27650,28.5,3.6,Allopathic
University of Arizona College of Medicine - Phoenix,uacom-p,2007,80,Phoenix,AZ,USA,3,29914,49472,31.0,3.7,Allopathic
Virginia Tech Carilion School of Medicine,vtc,2010,42,Roanoke,VA,USA,3,49800,49800,32.0,3.5,Allopathic
Campbell University Jerry M. Wallace School of Osteopathic Medicine,cusom,2013,,Buies Creek,NC,USA,2,40600,40600,,,Osteopathic
Marian University College of Osteopathic Medicine,mu-com,2010,162,Indianapolis,IN,USA,2,44100,44100,26.0,3.6,Osteopathic
Lake Erie College of Osteopathic Medicine at Bradenton,lecom-florida,2004,150,Bradenton,FL,USA,2,29925,32085,27.0,3.5,Osteopathic
Lake Erie College of Osteopathic Medicine at Erie,lecom,1992,324,Erie,PA,USA,2,31495,31495,27.0,3.5,Osteopathic
San Juan Bautista School of Medicine,sjbsom,1978,62,Caguas,PR,PuertoRico,2,56514,65014,21.0,3.4,Allopathic
University of Pikeville Kentucky College of Osteopathic Medicine,pcsom,1997,75,Pikeville,KY,USA,2,40120,40120,24.0,3.5,Osteopathic
Touro University Nevada College of Osteopathic Medicine Las Vegas,tucom-nv,2004,135,Henderson,NV,USA,2,49960,49960,27.3,3.4,Osteopathic
LIJ School of Medicine at Hofstra University,hofstra,2011,98,Hempstead,NY,USA,2,47000,47000,,,Allopathic
Western University of Health Sciences College of Osteopathic Medicine of the Pacific,wucomp,1977,220,Pomona,CA,USA,2,53610,53610,28.0,3.6,Osteopathic
A.T. Still University School of Osteopathic Medicine in Arizona,atsu-soma,2007,108,Mesa,AZ,USA,2,54442,54442,28.0,3.5,Osteopathic
SUNY - Upstate Medical University College of Medicine,suny-upstate,1834,172,Syracuse,NY,USA,2,38250,63260,30.0,3.6,Allopathic
Eastern Virginia Medical School,evms,1973,152,Norfolk,VA,USA,2,31196,56382,30.0,3.4,Allopathic
Georgetown University School of Medicine,georgetown,1851,190,Washington,DC,USA,2,48796,48696,31.5,3.6,Allopathic
Marshall University Joan C. Edwards School of Medicine,jcesom,1977,72,Huntington,WV,USA,2,20086,47676,28.5,3.6,Allopathic
Meharry Medical College School of Medicine,mmc,1876,105,Nashville,TN,USA,2,45580,45580,26.7,3.5,Allopathic
Michigan State University College of Human Medicine,msu-chm,1964,212,East Lansing,MI,USA,2,40112,82071,28.0,3.6,Allopathic
Pennsylvania State University College of Medicine,psu,1967,148,Hershey,PA,USA,2,44162,51984,29.8,3.7,Allopathic
Ross University School of Medicine,rusm,1978,,Iselin,NJ,USA,2,41385,41385,24.0,3.2,Allopathic
Saba University School of Medicine,susm,1986,95,Devens,MA,USA,2,29850,29850,32.0,2.7,Allopathic
Southern Illinois University School of Medicine,siu,1970,72,Springfield,IL,USA,2,32985,,30.0,3.7,Allopathic
St. George's University School of Medicine,sgu,1976,,Great River,NY,USA,2,49282,49282,27.0,3.4,Allopathic
St. Matthew's University School of Medicine,smu-som,1997,50,Orlando,FL,USA,2,34950,34950,,,Allopathic
SUNY - University at Buffalo Jacobs School of Medicine and Biomedical Sciences,ub-smbs,1846,144,Buffalo,NY,USA,2,38250,63260,32.0,3.8,Allopathic
SUNY - Stony Brook University School of Medicine,suny-sb,1971,116,Stony Brook,NY,USA,2,21470,40640,,3.6,Allopathic
Temple University School of Medicine,tu-som,1901,210,Philadelphia,PA,USA,2,44964,53468,32.0,3.7,Allopathic
Texas A & M University System Health Science Center College of Medicine,tamushsc-com,1977,192,Bryan,TX,USA,2,16432,29532,30.1,3.7,Allopathic
Rutgers New Jersey Medical School,umdnj-njms,1954,,Newark,NJ,USA,2,37615,57479,32.5,3.6,Allopathic
Rutgers Robert Wood Johnson Medical School,umdnj-rwjms,1962,147,Piscataway,NJ,USA,2,37615,57479,31.5,3.6,Allopathic
University of Arkansas for Medical Sciences College of Medicine,uams,1879,170,Little Rock,AR,USA,2,26548,53096,29.0,3.7,Allopathic
University of Calgary Cumming School of Medicine,uoc-fom,1967,170,Calgary,AB,Canada,2,15012,,31.8,3.8,Allopathic
University of Connecticut School of Medicine,uconn-som,1961,90,Farmington,CT,USA,2,27074,46629,30.4,3.7,Allopathic
University of Illinois College of Medicine,uic-med,1882,314,Chicago,IL,USA,2,38396,75396,31.0,3.6,Allopathic
University of Kansas School of Medicine,kusom,1905,210,Kansas City,KS,USA,2,34150,60462,30.0,3.5,Allopathic
University of Louisville School of Medicine,u-of-l,1837,160,Louisville,KY,USA,2,36464,55462,29.0,3.6,Allopathic
University of Nevada School of Medicine,unsom,1969,68,Reno,NV,USA,2,25110,55464,29.0,3.6,Allopathic
University of New Mexico School of Medicine,unm,1964,100,Albuquerque,NM,USA,2,16118,46296,28.3,3.7,Allopathic
University of South Carolina School of Medicine,uscsm,1974,100,Columbia,SC,USA,2,39114,87750,28.7,3.6,Allopathic
University of South Dakota Sanford School of Medicine,usdsm,1907,58,Vermillion,SD,USA,2,12831,31777,30.0,3.8,Allopathic
University of Tennessee Health Science Center College of Medicine-Memphis,ut-com,1911,165,Memphis,TN,USA,2,32430,66432,30.0,3.7,Allopathic
University of Texas Medical Branch-Galveston,utmb,1891,230,Galveston,TX,USA,2,15384,28484,28.8,3.8,Allopathic
University of Toledo College of Medicine and Life Sciences,utoledo-com,1969,176,Toledo,OH,USA,2,15424,30677,30.3,3.7,Allopathic
Wayne State University School of Medicine,wsu,1868,290,Detroit,MI,USA,2,33057,65346,31.5,3.7,Allopathic
West Virginia University Robert C. Byrd Health Sciences Center School of Medicine,wvu-som,1902,110,Morgantown,WV,USA,2,29295,56673,29.0,3.8,Allopathic
Wright State University Boonshoft School of Medicine,wsu-bsom,1974,104,Dayton,OH,USA,2,32072,49024,29.2,3.6,Allopathic
American University of the Caribbean,auc,1978,,Coral Gables,FL,USA,2,43750,43750,25.0,3.2,Allopathic
Touro College of Osteopathic Medicine - New York,tourocom-ny,2007,135,New York,NY,USA,1,48140,48140,,,Osteopathic
William Carey University College of Osteopathic Medicine,wcu-com,2007,110,Hattiesburg,MS,USA,1,39000,39000,,,Osteopathic
The Commonwealth Medical College,tcmc,2008,92,Scranton,PA,USA,1,42165,42165,29.0,3.7,Allopathic
Touro University California College of Osteopathic Medicine Mare Island,tucom-ca,1997,135,Vallejo,CA,USA,1,32072,49024,30.4,3.5,Osteopathic
Pacific Northwest University of Health Sciences College of Osteopathic Medicine,pnwu,2005,135,Yakima,WA,USA,1,50000,50000,26.9,3.4,Osteopathic
Albany Medical College,amc,1839,191,Albany,NY,USA,1,55360,55360,36.0,3.6,Allopathic
Drexel University College of Medicine,ducom,1848,,Philadelphia,PA,USA,1,53164,53164,,,Allopathic
New York Medical College,nymc,1860,350,Valhalla,NY,USA,1,52200,52200,32.0,3.6,Allopathic
Northeast Ohio Medical University College of Medicine,neoucom,1973,65,Rootstown,OH,USA,1,34670,34670,29.9,3.6,Allopathic
Ponce Health Sciences University,psm,1977,118,Ponce,PR,PuertoRico,1,31624,31624,21.0,3.2,Allopathic
Chicago Medical School at Rosalind Franklin University of Medicine and Health Sciences,rfucms,1912,190,North Chicago,IL,USA,1,52365,52365,30.0,3.5,Allopathic
Saint Louis University School of Medicine,slu,1836,176,Saint Louis,MO,USA,1,50440,50440,32.7,3.8,Allopathic
SUNY - Downstate Medical Center College of Medicine,suny-downstate,1860,72,Brooklyn,NY,USA,1,38250,63260,35.5,3.8,Allopathic
Texas Tech University Health Sciences Center School of Medicine,ttuhsc,1969,146,Lubbock,TX,USA,1,12550,26650,31.0,3.7,Allopathic
Universidad Central Del Caribe School of Medicine,ucdcsom,1976,74,Bayamón,PR,PuertoRico,1,34250,42255,23.0,3.6,Allopathic
University of Missouri-Kansas City School of Medicine,umkc-som,1971,106,Kansas City,MO,USA,1,30514,44875,28.0,3.7,Allopathic
University of North Dakota School of Medicine and Health Sciences,undsmhs,1905,78,Grand Forks,ND,USA,1,29494,53388,29.0,3.7,Allopathic
Florida International University Herbert Wertheim College of Medicine,fiu,2006,120,Miami,FL,USA,1,32738,62738,31.0,3.7,Allopathic
Quinnipiac University School of Medicine,qu-som,2010,60,Hamden,CT,USA,1,53420,53420,29.5,3.7,Allopathic
